spontaneous,adj, 自发的， 自然产生的； 自然的， 无雕饰的,spɑːn'teɪniəs,spontaneous&type=1,"[{'sContent': 'The crowd gave a spontaneous cheer.', 'sCn': '人群自发地欢呼起来。'}, {'sContent': 'My spontaneous reaction was to run away.', 'sCn': '我的本能反应就是逃跑。'}]"
convection,n, 对流； 传送,kən'vekʃn,convection&type=1,"[{'sContent': '...clouds which lift warm, moist air by convection high into the atmosphere.', 'sCn': '...云层通过对流把温暖湿润的空气送到高的大气层中。'}]"
wreck,vt,使失事；破坏,rek,wreck&type=1,"[{'sContent': 'Injury threatened to wreck his sporting career.', 'sCn': '伤病可能会毁了他的运动生涯。'}, {'sContent': 'It was drink that wrecked their marriage.', 'sCn': '是酒毁了他们的婚姻。'}]"
twinkling,adj, 闪光的,'twɪŋklɪŋ,twinkling&type=1,"[{'sContent': 'On a clear night, I could see stars twinkling in the sky.', 'sContent_eng': 'On a clear night, I could see stars <b>twinkling</b> in the sky.', 'sSpeech': 'On+a+clear+night%2C+I+could+see+stars+twinkling+in+the+sky.&le=eng', 'sCn': '在晴朗的夜晚，我可以看见星星在天空闪烁。'}, {'sContent': 'Miss heart only stars know, heart desire only you know, when you see the stars twinkling in the sky, is my best wishes to you.', 'sContent_eng': 'Miss heart only stars know, heart desire only you know, when you see the stars <b>twinkling</b> in the sky, is my best wishes to you.', 'sSpeech': 'Miss+heart+only+stars+know%2C+heart+desire+only+you+know%2C+when+you+see+the+stars+twinkling+in+the+sky%2C+is+my+best+wishes+to+you.&le=eng', 'sCn': '思念的心只有星星知道，心中的愿望只有你知道，当你看见星星闪烁的夜空，就是我的祝福在向你致意。'}]"
gloomy,adj, 忧郁的， 令人沮丧的； 昏暗的， 阴暗的， 阴沉的,'gluːmi,gloomy&type=1,"[{'sContent': 'The report paints a gloomy picture of the economy.', 'sCn': '这篇报告描绘了一幅惨淡的经济现状。'}]"
reproach,v&n, 指责， 斥责， 批评,rɪ'proutʃ,reproach&type=1,"[{'sContent': '‘You don’t need me,’ she said quietly, without reproach.', 'sCn': '“你不需要我。”她语气平静，没有丝毫责备。'}]"
customs,n, 关税， 进口税； 海关,'kʌstəmz,customs&type=1,"[{'sContent': 'What right does Customs have to search my car?', 'sCn': '海关有什么权力搜查我的车？'}]"
warrant,n,授权，批准；许可证；委任状，执行令,'wɔːrənt,warrant&type=1,"[{'sContent': 'The company issued warrants for 300,000 shares.', 'sCn': '那家公司发放了30万股的认股权证。'}]"
sake,n, 缘故， 理由； 好处,seɪk,sake&type=1,"[{'sContent': 'He moved to the seaside for the sake of his health.', 'sCn': '他为了健康而迁居海滨。'}]"
conceal,vt, 隐蔽； 隐瞒； 覆盖,kən'siːl,conceal&type=1,"[{'sContent': 'The shadows concealed her as she crept up to the house.', 'sCn': '她借着阴影蹑手蹑脚地走向房子。'}, {'sContent': 'The path was concealed by long grass.', 'sCn': '小路隐藏在长长的草里。'}, {'sContent': 'a concealed weapon', 'sCn': '藏匿的武器'}]"
solid,adj,固体的；实心的；结实的，稳固的；可靠的；连续的,'sɑːlɪd,solid&type=1,"[{'sContent': 'The lake was frozen solid .', 'sCn': '湖水冻得结结实实。'}, {'sContent': 'It was good to be back on solid ground again.', 'sCn': '又能踏上坚实的土地感觉真好。'}, {'sContent': 'Is the baby eating solid food (= bread, meat etc ) yet?', 'sCn': '宝宝吃固体食物了吗？'}, {'sContent': 'The ship’s sonar can detect the presence of solid objects in the water.', 'sCn': '船上的声呐能够探测出水中的固体物。'}]"
narrative,adj, 叙述性的,'nærətɪv,narrative&type=1,"[{'sContent': 'The novel contains more narrative than dialogue.', 'sContent_eng': 'The novel contains more <b>narrative</b> than dialogue.', 'sSpeech': 'The+novel+contains+more+narrative+than+dialogue.&le=eng', 'sCn': '这部小说里的叙述比对话多。'}, {'sContent': 'If this story must be written, we must have the courage to eliminate all adjectives that tend to excite wonder: they would achieve the opposite effect, of impoverishing the narrative.', 'sContent_eng': 'If this story must be written, we must have the courage to eliminate all adjectives that tend to excite wonder: they would achieve the opposite effect, of impoverishing the <b>narrative</b>.', 'sSpeech': 'If+this+story+must+be+written%2C+we+must+have+the+courage+to+eliminate+all+adjectives+that+tend+to+excite+wonder%3A+they+would+achieve+the+opposite+effect%2C+of+impoverishing+the+narrative.&le=eng', 'sCn': '如果必须要写这篇故事，我们必须要有勇气剔除易于激发我们想入非非的所有形容词：这些词会使叙述贫瘠无力，起到相反的效果。'}]"
coincide,vi, 同时发生； 一致， 相符； 重合,ˌkouɪn'saɪd,coincide&type=1,"[{'sContent': 'When our vacations coincided, we often holidayed together.', 'sCn': '我们的假期要是凑巧赶在一起，我们常常会一同去度假。'}]"
circular,adj, 圆形的， 环形的； 循环的； 绕行的,'sɜːrkjələr,circular&type=1,"[{'sContent': 'a circular table', 'sCn': '圆桌'}]"
scratch,vt,刮擦，划；抓，搔,skrætʃ,scratch&type=1,"[{'sContent': 'John yawned and scratched his leg.', 'sCn': '约翰打了个呵欠，挠了挠腿。'}, {'sContent': 'Try not to scratch.', 'sCn': '尽量别挠。'}]"
require,vt, 需要； 要求， 命令,rɪ'kwaɪər,require&type=1,"[{'sContent': 'Campbell’s broken leg will probably require surgery.', 'sCn': '坎贝尔的一条腿骨折，可能需要手术。'}, {'sContent': 'What’s required is a complete reorganization of the system.', 'sCn': '需要做的是彻底整顿整个系统。'}, {'sContent': 'Most house plants require regular watering.', 'sCn': '大多数室内盆栽植物需要定期浇水。'}]"
cooperative,adj,合作的，协作的；配合的,kou'ɑːpərətɪv,cooperative&type=1,"[{'sContent': 'He was doing his best to be cooperative.', 'sCn': '他在尽全力配合。'}, {'sContent': 'a cooperative witness', 'sCn': '肯配合的目击者'}]"
willow,n, 柳， 柳树； 柳木制品,'wɪlou,willow&type=1,
corporeal,adj, 肉体的， 身体的； 物质的； 实体的,kɔːr'pɔːriəl,corporeal&type=1,"[{'sContent': 'corporeal desires', 'sCn': '肉欲'}]"
irritable,adj, 急躁的， 易怒的； 易受刺激的； 过敏的,'ɪrɪtəbl,irritable&type=1,"[{'sContent': 'Jo was tired, irritable, and depressed.', 'sCn': '乔疲惫暴躁，而且情绪低落。'}]"
triple,v,增至三倍,'trɪpl,triple&type=1,"[{'sContent': 'The company has tripled in size .', 'sCn': '这家公司的规模已扩大了两倍。'}, {'sContent': 'We expect to triple our profits next year.', 'sCn': '我们期望明年利润增加两倍。'}]"
temper,n,脾气，性情,'tempər,temper&type=1,"[{'sContent': 'That temper of hers will get her into trouble one of these days.', 'sCn': '她那种脾气早晚会让她惹麻烦的。'}, {'sContent': 'According to Nathan, Robin has quite a temper .', 'sCn': '据内森讲，罗宾脾气很大。'}, {'sContent': 'Theo needs to learn to control his temper .', 'sCn': '西奥应该学会控制他的脾气。'}]"
legible,adj, 清楚的； 易读的,'ledʒəbl,legible&type=1,"[{'sContent': 'Her handwriting was so tiny it was barely legible.', 'sCn': '她的字写得这么小，简直都看不清楚。'}]"
tickle,v,发痒；使高兴，逗乐,'tɪkl,tickle&type=1,"[{'sContent': 'Mommy, this blanket tickles.', 'sCn': '妈妈，这毛毯扎人。'}, {'sContent': 'Mazie’s fur collar was tickling her neck.', 'sCn': '马齐耶的毛领子扎得她脖子痒痒的。'}]"
cardiac,adj, 心脏的； 心脏病的,'kɑːrdiæk,cardiac&type=1,"[{'sContent': 'cardiac surgery', 'sCn': '心脏手术'}]"
accessible,adj, 易接近的； 可得到的； 可进入的,ək'sesəbl,accessible&type=1,"[{'sContent': 'The island is only accessible by boat.', 'sCn': '这个岛只有坐船才能到。'}, {'sContent': 'There is a church which is easily accessible from my home.', 'sCn': '有座教堂离我家很近。'}]"
ageism,n, 年龄歧视,'eɪdʒɪzəm,ageism&type=1,"[{'sContent': 'The problem of ageism in the workplace often goes unrecognized.', 'sContent_eng': 'The problem of <b>ageism</b> in the workplace often goes unrecognized.', 'sSpeech': 'The+problem+of+ageism+in+the+workplace+often+goes+unrecognized.&le=eng', 'sCn': '工作场所的年龄歧视问题常被忽视。'}, {'sContent': 'The International Day of Older Persons is our chance to take a stand against the destructive problem of ageism.', 'sContent_eng': 'The International Day of Older Persons is our chance to take a stand against the destructive problem of <b>ageism</b>.', 'sSpeech': 'The+International+Day+of+Older+Persons+is+our+chance+to+take+a+stand+against+the+destructive+problem+of+ageism.&le=eng', 'sCn': '国际老年人日是我们采取立场，反对年龄歧视这一具有破坏性问题的机会。'}]"
cliff,n, 悬崖， 峭壁,klɪf,cliff&type=1,"[{'sContent': 'The car rolled over the edge of a cliff.', 'sCn': '汽车翻下了悬崖边。'}]"
roll,v,滚动，转动；卷，绕；摇摆，摇晃,roul,roll&type=1,"[{'sContent': 'His sleeves were rolled above his elbows.', 'sCn': '他的袖子卷到了胳膊肘的上面。'}]"
notable,adj,值得注意的，明显的；显著的；著名的；重要的,'noutəbl,notable&type=1,"[{'sContent': 'Every country in the world signed the treaty, with one notable exception - the United States.', 'sCn': '全世界每个国家都签署了那份条约，只有一个国家反其道而行之，就是美国。'}]"
concede,v, 承认； 让步； 允许,kən'siːd,concede&type=1,"[{'sContent': '‘That’s the only possible solution.’ ‘Yes, I suppose so,’ Charles conceded.', 'sCn': '“那是唯一可行的解决办法。”“对，我想是。”查尔斯承认道。'}]"
unparalleled,adj, 空前的， 无比的,ʌn'pærəleld,unparalleled&type=1,"[{'sContent': 'an achievement unparalleled in sporting history', 'sCn': '体育史上空前的成就'}]"
evaporate,v, 蒸发； 消失， 不复存在,ɪ'væpəreɪt,evaporate&type=1,"[{'sContent': 'Most of the water had evaporated.', 'sCn': '大部分的水都蒸发了。'}, {'sContent': 'The sun evaporates moisture on the leaves.', 'sCn': '太阳会蒸发叶子上的水分。'}]"
luminosity,n, 亮度， 发光度； 光明,ˌluːmɪ'nɑːsətɪ,luminosity&type=1,"[{'sContent': 'For a few years its luminosity flared up to about 10,000 times the present-day luminosity of the Sun.', 'sCn': '有几年它的亮度一度达到了现在的太阳亮度的一万倍左右。'}]"
commission,n,授权，委任；委员会；佣金，回扣,kə'mɪʃn,commission&type=1,"[{'sContent': 'The Government set up a commission to investigate allegations of police violence.', 'sCn': '政府成立了一个委员会调查对警察施暴行为的指控。'}]"
policy,n, 政策， 方针； 原则； 保险单,'pɑːləsi,policy&type=1,"[{'sContent': 'an insurance policy', 'sCn': '保险单'}]"
resume,v, 重新开始， 继续,rɪ'zuːm,resume&type=1,"[{'sContent': 'She hopes to resume work after the baby is born.', 'sCn': '她想生完孩子后继续工作。'}, {'sContent': 'The rebels have resumed hostilities against government troops.', 'sCn': '叛乱分子继续与政府军发生冲突。'}]"
provocative,adj, 挑衅的， 煽动性的； 惹人讨厌的； 挑逗的,prə'vɑːkətɪv,provocative&type=1,"[{'sContent': 'a provocative act by a terrorist group', 'sCn': '恐怖团体的挑衅行为'}, {'sContent': 'She was accused of being deliberately provocative .', 'sCn': '她被指责故意挑衅。'}]"
address,v, 作讲话； 写姓名地址,ə'dres,address&type=1,"[{'sContent': 'Send a stamped, self-addressed envelope (=  with your address on it so it can be sent back to you  ) .', 'sCn': '寄上一个贴好邮票的、写有回邮地址的信封。'}]"
spiral,vi,盘旋；盘旋上升；急剧增长,'spaɪrəl,spiral&type=1,"[{'sContent': 'Crime has spiraled out of control .', 'sCn': '犯罪活动激增，已经失控。'}, {'sContent': '...a spiral staircase.', 'sCn': '…一段旋梯。'}]"
artistic,adj, 艺术的； 富有艺术性的， 精美的； 有艺术天赋的,ɑːr'tɪstɪk,artistic&type=1,"[{'sContent': 'artistic work', 'sCn': '艺术作品'}, {'sContent': 'Opinion about the artistic merit of his paintings has been mixed.', 'sCn': '对于他的绘画作品的艺术价值，人们褒贬不一。'}]"
ramble,vi,漫游；漫谈，闲聊,'ræmbl,ramble&type=1,"[{'sContent': 'There’s plenty to discover as you ramble around this little island.', 'sCn': '漫步这个小岛，你会有很多新发现。'}]"
vocation,n, 职业； 使命感； 圣召,vou'keɪʃn,vocation&type=1,"[{'sContent': 'It could well be that he has a real vocation.', 'sCn': '他很可能有种真正的使命感。'}]"
halt,v, 停住， 停下,hɔːlt,halt&type=1,"[{'sContent': 'The parade halted by a busy corner.', 'sCn': '游行队伍在一个热闹的拐角处停下了。'}]"
throw,v,投，掷，抛；丢，扔；使陷入，使处于；使困惑，使吃惊,θrou,throw&type=1,"[{'sContent': 'The bus stopped suddenly and we were all thrown forwards.', 'sCn': '公共汽车猛地停住，我们都往前栽。'}]"
sunset,n, 日落， 傍晚,'sʌnset,sunset&type=1,"[{'sContent': 'a glorious sunset', 'sCn': '壮丽的日落景象'}]"
stature,n, 身材， 身高； 地位， 声望， 名望,'stætʃər,stature&type=1,"[{'sContent': 'He grew in stature (= became more admired or popular ) during the campaign.', 'sCn': '在这场宣传活动中，他的声望提高了。'}]"
dogged,adj, 顽强的， 坚持不懈的； 顽固的， 固执的,'dɔːgɪd,dogged&type=1,"[{'sContent': 'a dogged determination to succeed', 'sCn': '不屈不挠的成功决心'}]"
plasma,n, 血浆； 等离子体,'plæzmə,plasma&type=1,"[{'sContent': 'Now there are no gaps, so this is the state of matter, and this was the state of a plasma.', 'sContent_eng': 'Now there are no gaps, so this is the state of matter, and this was the state of a <b>plasma</b>.', 'sSpeech': 'Now+there+are+no+gaps%2C+so+this+is+the+state+of+matter%2C+and+this+was+the+state+of+a+plasma.&le=eng', 'sCn': '现在没有任何间隙，这样这是物质的状态，而以前是一个等离子体状态。'}, {'sContent': 'Scientists think this plasma represents the state of the whole universe justmoments after it was born in the Big Bang, when the universe was extremely hotand dense.', 'sContent_eng': 'Scientists think this <b>plasma</b> represents the state of the whole universe justmoments after it was born in the Big Bang, when the universe was extremely hotand dense.', 'sSpeech': 'Scientists+think+this+plasma+represents+the+state+of+the+whole+universe+justmoments+after+it+was+born+in+the+Big+Bang%2C+when+the+universe+was+extremely+hotand+dense.&le=eng', 'sCn': '科学家认为这种等离子体代表整个宇宙在它出生的大爆炸之后瞬间的状态，那时的宇宙是非常炎热和致密的。'}, {'sContent': 'It receives only in lymph, it gives the emotion through the blood and the right current, what you call, through the nerve system, and it changes to be the same plasma the skin of the man or your nail.', 'sContent_eng': 'It receives only in lymph, it gives the emotion through the blood and the right current, what you call, through the nerve system, and it changes to be the same <b>plasma</b> the skin of the man or your nail.', 'sSpeech': 'It+receives+only+in+lymph%2C+it+gives+the+emotion+through+the+blood+and+the+right+current%2C+what+you+call%2C+through+the+nerve+system%2C+and+it+changes+to+be+the+same+plasma+the+skin+of+the+man+or+your+nail.&le=eng', 'sCn': '它只会在淋巴中接收，而通过血液和合适的电流来给予情感，也就是通过你们所说的神经系统，然后它就变成与你的皮肤或者指甲相同的等离子体。'}]"
exorbitant,adj, 过高的， 不合理的,ɪg'zɔːrbɪtənt,exorbitant&type=1,"[{'sContent': 'Exorbitant housing prices have created an acute shortage of affordable housing for the poor.', 'sCn': '过高的房价使穷人负担得起的房源严重短缺。'}]"
surgery,n, 外科手术； 外科学； 手术室， 诊疗室,'sɜːrdʒəri,surgery&type=1,"[{'sContent': 'Dr. Hanson is in surgery.', 'sCn': '汉森医生在手术室。'}]"
violent,adj, 暴力的； 感情强烈的， 激情的； 强烈的， 激烈的,'vaɪələnt,violent&type=1,"[{'sContent': 'the increase in violent crime', 'sCn': '暴力犯罪的增多'}, {'sContent': 'violent clashes between the police and demonstrators', 'sCn': '警方与示威者之间发生的暴力冲突'}, {'sContent': '31 people have been injured in violent incidents throughout the day.', 'sCn': '今天一天有31人在暴力事件中受伤。'}, {'sContent': 'The riots ended in the violent deaths of three teenagers.', 'sCn': '动乱以三名少年的惨死而告终。'}]"
inaccessible,adj, 难达到的， 不可及的； 不能得到的,ˌɪnæk'sesəbl,inaccessible&type=1,"[{'sContent': 'In winter, the villages are inaccessible by road.', 'sCn': '冬天时，进入这些村子的路很难走。'}]"
resolve,v,解决；决定，决心；分解；显现,rɪ'zɑːlv,resolve&type=1,"[{'sContent': 'Barnet was desperate for money to resolve his financial problems.', 'sCn': '巴尼特急需钱来解决他的经济问题。'}]"
choreograph,v, 设计舞蹈动作， 编舞,'kɔːriəgræf,choreograph&type=1,"[{'sContent': 'The show is very cleverly choreographed.', 'sCn': '这个节目的舞蹈动作设计得非常好。'}]"
confront,vt, 使面临， 使遭遇； 对抗,kən'frʌnt,confront&type=1,"[{'sContent': 'The problems confronting the new government were enormous.', 'sCn': '新政府面临的难题是巨大的。'}]"
nonverbal,adj, 非语言的,'nɑːnvɜːrbl,nonverbal&type=1,"[{'sContent': 'nonverbal forms of communication', 'sCn': '非语言交际形式'}]"
deploy,vt, 部署， 调度； 利用,dɪ'plɔɪ,deploy&type=1,"[{'sContent': 'a job in which a variety of professional skills will be deployed', 'sCn': '要用到多项专业技术的工作'}]"
reproduce,v, 繁殖， 生育； 复制； 再现,ˌriːprə'duːs,reproduce&type=1,"[{'sContent': 'The turtles return to the coast to reproduce.', 'sCn': '海龟回到岸上繁殖。'}]"
skeleton,n, 梗概， 提纲； 骨架， 骨骼； 框架,'skelɪtn,skeleton&type=1,"[{'sContent': 'We agreed on a skeleton outline of the proposal.', 'sCn': '我们给提案商定了一个基本框架。'}]"
huddle,vi, 聚集在一起， 挤作一团； 蜷缩， 缩成一团， 蜷缩,'hʌdl,huddle&type=1,"[{'sContent': 'We lay huddled together for warmth.', 'sCn': '我们紧紧挤在一起取暖。'}]"
syntactic,adj, 句法的； 按照句法的,sɪn'tæktɪk,syntactic&type=1,"[{'sContent': 'syntactic structure', 'sCn': '句法结构'}]"
rendition,n, 表演， 演唱； 提供， 给予； 翻译,ren'dɪʃn,rendition&type=1,"[{'sContent': 'He gave a moving rendition of Lennon’s ‘Imagine’.', 'sCn': '他深情地演唱了列侬的《想象》。'}]"
intersection,n, 交点； 十字路口， 道路交叉口,ˌɪntər'sekʃn,intersection&type=1,"[{'sContent': 'We crossed at a busy intersection.', 'sCn': '我们穿过了一个繁忙的道路交叉口。'}]"
scholarship,n, 奖学金； 学问， 学识,'skɑːlərʃɪp,scholarship&type=1,"[{'sContent': 'Her latest publication is a fine piece of scholarship.', 'sCn': '她最新出版的作品是一部优秀的学术著作。'}]"
myriad,adj, 无数的； 大量的,'mɪriəd,myriad&type=1,"[{'sContent': 'the myriad causes of homelessness', 'sCn': '导致人们无家可归的种种原因'}]"
besides,adv, 而且， 还有,bɪ'saɪdz,besides&type=1,"[{'sContent': 'I need the money. And besides, when I agree to do something, I do it.', 'sCn': '我需要这笔钱，而且，我一旦答应做什么事情就会做到。'}]"
implement,vt, 使生效， 执行， 实施,'ɪmplɪm(ə)nt,implement&type=1,"[{'sContent': 'The government promised to implement a new system to control financial loan institutions.', 'sCn': '政府许诺要实施新的制度来控制金融贷款机构。'}]"
disperse,v, 分散， 散开； 疏散； 散布,dɪ'spɜːrs,disperse&type=1,"[{'sContent': 'Police used tear gas to disperse the crowd.', 'sCn': '警察用催泪瓦斯驱散人群。'}]"
erratic,adj, 古怪的， 反复无常的； 不规则的； 不稳定的,ɪ'rætɪk,erratic&type=1,"[{'sContent': 'His breathing was becoming erratic.', 'sCn': '他的呼吸越来越不均匀。'}, {'sContent': 'his erratic behaviour', 'sCn': '他难以捉摸的行为'}]"
incinerate,vt, 焚化， 焚毁,ɪn'sɪnəreɪt,incinerate&type=1,"[{'sContent': 'Which is better to incinerate the rubbish from our towns or to tip it into disused quarries?', 'sContent_eng': 'Which is better to <b>incinerate</b> the rubbish from our towns or to tip it into disused quarries?', 'sSpeech': 'Which+is+better+to+incinerate+the+rubbish+from+our+towns+or+to+tip+it+into+disused+quarries%3F&le=eng', 'sCn': '在我们城里把垃圾予以焚化，还是倒进废弃的采石坑，哪一种方法好？'}]"
fantasy,n, 想象， 幻想,'fæntəsi,fantasy&type=1,"[{'sContent': 'I used to have fantasies about living in Paris with an artist.', 'sCn': '我过去常幻想着在巴黎与一位艺术家同住。'}, {'sContent': 'sexual fantasies', 'sCn': '性幻想'}, {'sContent': 'Young children sometimes can’t distinguish between fantasy and reality.', 'sCn': '小孩子有时不能区分幻想与现实。'}, {'sContent': 'He lived in a fantasy world of his own, even as a small boy.', 'sCn': '甚至还是个小孩子的时候，他就生活在一个幻想世界里。'}]"
capillary,adj, 毛状的； 毛细血管的,'kæpəleri,capillary&type=1,"[{'sContent': 'This consists of a capillary connected to a mercury reservoir.', 'sContent_eng': 'This consists of a <b>capillary</b> connected to a mercury reservoir.', 'sSpeech': 'This+consists+of+a+capillary+connected+to+a+mercury+reservoir.&le=eng', 'sCn': '这由一根与汞池相连的毛细管所构成。'}, {'sContent': 'The water can be sucked up near the surface by capillary attraction.', 'sContent_eng': 'The water can be sucked up near the surface by <b>capillary</b> attraction.', 'sSpeech': 'The+water+can+be+sucked+up+near+the+surface+by+capillary+attraction.&le=eng', 'sCn': '水能由于毛细管吸力作用而被吸引到靠近道路表面的地方。'}, {'sContent': 'For safety consideration due to ruptured seal, reaction of capillary fluid with process fluid should be carefully examined.', 'sContent_eng': 'For safety consideration due to ruptured seal, reaction of <b>capillary</b> fluid with process fluid should be carefully examined.', 'sSpeech': 'For+safety+consideration+due+to+ruptured+seal%2C+reaction+of+capillary+fluid+with+process+fluid+should+be+carefully+examined.&le=eng', 'sCn': '由于密封破裂出于安全考虑，宜谨慎测试毛细管充液和工艺介质的反应。'}]"
deform,v, 变形,dɪ'fɔːrm,deform&type=1,"[{'sContent': 'Wearing badly-fitting shoes can deform your feet.', 'sCn': '穿不合脚的鞋会使脚变形。'}]"
erode,v, 侵蚀， 腐蚀,ɪ'roud,erode&type=1,"[{'sContent': 'The cliffs are being constantly eroded by heavy seas.', 'sCn': '悬崖正不断受到汹涌海浪的侵蚀。'}, {'sContent': 'The rocks have gradually eroded away.', 'sCn': '岩石逐渐风化。'}]"
informative,adj, 提供消息的， 给予知识的； 见闻广博的,ɪn'fɔːrmətɪv,informative&type=1,"[{'sContent': 'Both men termed the meeting friendly and informative.', 'sCn': '他们两人都称这次会晤亲切友好，使双方增进了解。'}]"
check,n,支票；账单；,tʃek,check&type=1,"[{'sContent': 'Can you cash this check for me?', 'sContent_eng': 'Can you cash this <b>check</b> for me?', 'sSpeech': 'Can+you+cash+this+check+for+me%3F&le=eng', 'sCn': '您可以为我兑现这张支票吗?。'}, {'sContent': 'Can you cash this check for me?', 'sContent_eng': 'Can you cash this <b>check</b> for me?', 'sSpeech': 'Can+you+cash+this+check+for+me%3F&le=eng', 'sCn': '你可以为我兑现这张支票吗?。'}]"
frustrate,vt, 使感到灰心， 挫败； 阻止,'frʌstreɪt,frustrate&type=1,"[{'sContent': 'Their attempts to speak to him were frustrated by the guards.', 'sCn': '他们想跟他说话，但被警卫拦住了。'}]"
sparse,adj, 稀疏的， 稀少的； 贫乏的,spɑːrs,sparse&type=1,"[{'sContent': 'his sparse brown hair', 'sCn': '他那稀疏的棕色头发'}, {'sContent': 'rural areas with sparse populations', 'sCn': '人口稀少的农村地区'}]"
gorgeous,adj, 漂亮的； 令人愉快的； 华丽的， 灿烂的,'gɔːrdʒəs,gorgeous&type=1,"[{'sContent': 'a gorgeous cake', 'sCn': '漂亮的蛋糕'}, {'sContent': 'The hotel room had a gorgeous view.', 'sCn': '那间客房窗外景色迷人。'}]"
pragmatic,adj, 务实的， 注重实效的， 实用的,præg'mætɪk,pragmatic&type=1,"[{'sContent': 'Williams took a more pragmatic approach to management problems.', 'sCn': '威廉斯在管理问题上采用的是一种更务实的做法。'}]"
erosion,n, 腐蚀， 侵蚀； 削弱， 减少,ɪ'rouʒn,erosion&type=1,"[{'sContent': 'the problem of soil erosion', 'sCn': '水土流失的问题'}, {'sContent': 'the erosion of the coastline', 'sCn': '海岸线受到的侵蚀'}]"
methane,n, 甲烷， 沼气,'meθeɪn,methane&type=1,"[{'sContent': 'Methane is one of the principal gases contributing to the greenhouse effect.', 'sCn': '甲烷是造成温室效应的主要气体之一。'}]"
tectonic,adj, 地壳构造的,tek'tɑːnɪk,tectonic&type=1,"[{'sContent': 'tectonic movements', 'sCn': '地壳构造运动'}]"
superstitious,adj, 迷信的， 受迷信思想支配的,ˌsuːpər'stɪʃəs,superstitious&type=1,"[{'sContent': 'a superstitious woman', 'sCn': '一个迷信的女人'}]"
ascend,v, 上升， 升高； 攀登,ə'send,ascend&type=1,"[{'sContent': 'The plane ascended rapidly.', 'sCn': '飞机迅速爬升。'}]"
elasticity,n, 弹力； 弹性,ˌiːlæ'stɪsəti,elasticity&type=1,"[{'sContent': 'the skin’s natural elasticity', 'sCn': '皮肤天生的弹性'}]"
proactive,adj, 积极主动的； 先发制人的,ˌprou'æktɪv,proactive&type=1,"[{'sContent': 'a proactive approach to staffing requirements', 'sCn': '对人事需求的积极处理方法'}]"
aboriginal,adj,原始的；土著的，土生土长的,ˌæbə'rɪdʒənl,aboriginal&type=1,"[{'sContent': '...Aboriginal art.', 'sCn': '…土著艺术。'}]"
indispensable,adj, 必不可少的,ˌɪndɪ'spensəbl,indispensable&type=1,"[{'sContent': 'Mobile phones have become an indispensable part of our lives.', 'sCn': '移动电话已经成为我们生活中的必需品。'}]"
lens,n, 透镜； 镜头； 镜片,lenz,lens&type=1,"[{'sContent': 'a standard 50mm lens', 'sCn': '50毫米标准镜头'}]"
embody,vt, 表达， 体现； 含有,ɪm'bɑːdi,embody&type=1,"[{'sContent': 'She embodies everything I admire in a teacher.', 'sCn': '她具备了我所钦佩的教师该具备的一切素质。'}]"
verifiable,adj, 可证实的， 可核实的,'verɪfaɪəbl,verifiable&type=1,"[{'sContent': 'This is not a romantic notion but verifiable fact.', 'sCn': '这不是一个不切实际的念头，而是一个有依据的事实。'}]"
